OBJECTID,NAME,ADDRESS,USE_TYPE,PROPID,ACTIVE,DIAMOND60,DIAMOND90,BBCOURT,FBFIELD,SOCCERJR,SOCCERREG,TENNISCT,VOLLEYB,SKATEPARK,WOODLAND,VSTRSHCAN,DMPSTR,PICNIC,PLYGRD,TOTLOT,INSWIM,OUTSWIM,SPRAYPARK,UTILBX,TRAFPOLE,UTILPOLE,BUSSTP,LOCK_,NMZ,DRINKFOUNT,BENCHES,ATHLIGHT,LNDSCPBED,TOTIMPV,SIGNS,TURFONLY,FENCE,TOPO,COMMGAR,WARD,AREA_,ZONE_,PARKPARTN,RES_NUM,ADJ_SCHOOL_SITE,COMMENTS,Shape_Length,Shape_Area,SSL,DATE_ACQUIRED
79,King-Greenleaf,"Canal St., between M and N Sts., SW",REC CENTER GROUNDS,DPR_0634,Y,0,1,2,0,0,0,2,0,N,N,0,0,0,1,1,0,0,N,0,0,0,N,,N,0,0,Nw,Gd,Nw,RpLACE,Gd,Ir,Flt,N,6,,5,Y,"6P&Q,0634",Bowen Elementary School,"Subdivision Books (110,129,& 149) Pages (9,44,& 121) (TOJ to DC for Recreation purposes)",864.7635513,22013.21448,Multiple Lots,
80,Pope Branch Park,"M St. & Fairlawn Ave., to 39th & Nash Sts., SE",LARGE PARK,DPR_0624,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,7,,7,,624,none,Subdivision Book 158 Page 34 (TOJ for Recreation Purposes),4422.879706,163456.1422,RES 06240000,1972-11-07T00:00:00.000Z
81,Fort Chaplin Park,"Texas Ave. and C St., SE",PARK,DPR_0612,Y,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,N,7,,14,,612,Plummer Elementary School,Subdivision Books (158 & 137) Pages (39 & 169) (TOJ to DC for Recreation purposes),429.3170934,10443.99926,RES 06120000,1972-12-14T00:00:00.000Z
82,Brentwood Park (Patterson Tract),"6th St., between New York & Florida Aves., NE",PARK,DPR_0495,Y,0,1,2,0,0,0,2,0,,,0,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,,N,5,,11,,495,none,Subdivision Books (162 & 158) Pages (5 & 40) (TOJ to DC for Recreation & Hwy purposes),1652.509435,52387.34334,PAR 01290057,1986-01-01T00:00:00.000Z
83,DC Therapeutic,"3030 G St., SE",REC CENTER GROUNDS,DPR_0405,Y,1,0,1,0,0,0,0,0,N,Y,1,0,13,1,0,1,0,N,0,0,0,N,,Y,0,5,Nne,RpAIR,Nw,RpLACE,Pr,ChnLnk,Flt,N,7,,14,N,405,none,"Subdivision Books (121,139,140 & 158) Pages (39,14-15 & 28,42 & 40) (TOJ to DC for Recreation & Hwy purposes)",1172.99954,66228.56809,RES 04050000,
84,Ridge,"Ridge Rd. and Burns St., SE",REC CENTER GROUNDS,DPR_0406,Y,1,0,2,0,0,0,0,0,N,Y,7,1,3,1,1,0,1,N,0,0,0,N,,Y,1,5,Nw,Nne,Nw,RpLACE,RpAIR,ChnLnk,MdSlp,N,7,,14,N,405,none,Subdivision Book 158 Page 40 (TOJ to DC for Recreation purposes),1113.030928,43773.45196,PAR 01960012,
85,Jelleff Field,"3265 S Street, NW",REC CENTER GROUNDS,DPR_0023,Y,,1,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,ChnLnk,,,2,,,,none,none,,554.5534981,16568.93842,1299    1010,
86,Town Center Park,"6th St. and I Sts., SW`",SMALL PARK,DPR_0721,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,721,none,AMT - Survey October 2007 - TOJ to DC for park & recreation purposes FOSET 2008,271.17,4581.111996,RES 07210000,
87,Town Center Park,"3rd St. and I Sts., SW",SMALL PARK,DPR_0723,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,723,none,AMT - Survey October 2007 - TOJ to DC for park & recreation purposes FOSET 2008,207.162,2534.232168,RES 07230000,
88,Rita Bright Community Center,"2500 14th St., NW",REC CENTER GROUNDS,DPR_0024,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChnLnk,,,1,,,,none,none,,281.5307382,3811.461585,2662    0205,
89,Bruce Monroe Community Park,"Irving & Georgia Avenue, NW",PARK,DPR_0025,Y,,,2,,,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,1,,,,none,,,452.6101028,11318.58177,2890    0849,
90,Triangle Park RES 0130,"Water St., south of M St., SE",TRIANGLE,DPR_0130,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,130,none,AMT SURVEY FEBRUARY 2008 - TOJ to DC for park & recreation purposes,94.73148146,474.9027435,1025E   0802,
91,Triangle Park RES 0129,"Virginia Ave. and south of M St., SE",TRIANGLE,DPR_0129,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,129,none,"SURVEY BOOK 204, PAGE 5 AND AMT SURVEY FEBRUARY 2008 - TOJ to DC for park & recreation purposes",212.2270139,1418.642517,RES 01290000,
92,Triangle Park RES 0128,"Virginia Ave., Between 12th & M Sts., SE",TRIANGLE,DPR_0128,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,128,none,AMT SURVEY FEBRUARY 2008 - TOJ to DC for park & recreation purposes,166.3462766,845.6257,0999E   0800,
93,Triangle Park RES 0251,"Potomac Ave SE, 9th Street SE, and M Street SE",TRIANGLE,DPR_0251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,251,,"Subdivision Book 204, Page 198. TOJ to DC for park & recreation purposes",128.3248359,611.4410261,0930S   0800,
94,Mt Vernon Square,"Mt Vernon Pl NW, K St NW, 7th St NW, and 9th St NW",SMALL PARK,DPR_0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,8,none,"Subdivision Book 204, Page 198. TOJ to DC for park & recreation purposes",439.1859021,11113.11503,0403N   0800,
95,Triangle Park RES 277C,"North Capitol St NW, Lincoln Rd NE, and R St NE",TRIANGLE,DPR_277C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,277C,,"Subdivision Book 204, Page 198. TOJ TO DC",62.28310123,210.6693089,3514    0802,
96,"Triangle Park RES 0044,0045","South Carolina and Pennsylvania Aves., to 7th, 8th and D Sts., SE",TRIANGLE,DPR_0044,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,"440,045",none,"Subdivision 204, Page 198. GAO Federal Real Property Report.  TOJ to DC for Parks, Recreation & Open Space",244.4021877,2753.679371,Multiple Lots,
97,Congress Heights,"7th St., south of Alabama Ave., SE",REC CENTER GROUNDS,DPR_0632,Y,1,0,1,0,0,0,3,0,N,Y,3,1,2,1,0,0,0,N,,,,N,,N,1,5,Nw,Nne,RpLACE,RpLACE,RpAIR,ChnLnk,Flt,N,8,,8,,632,Martin Luther King Elementary School,Subdivision Books (158 & 125) Pages (11 & 75) (TOJ for Recreation Purposes),543.1807006,16249.32708,RES 06320000,1971-10-18T00:00:00.000Z
98,Triangle Park RES 0547,"Kansas Ave., between Gallatin & 4th Sts., NW",TRIANGLE,DPR_0547,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,10,,547,none,TOJ for Comp Plan,154.7864938,953.8178446,RES 05470000,
99,Poplar Point,"South Capitol Street, I-295, 11th St. & Frederick Douglass Memorial Bridges, SE",LARGE PARK,DPR_343C,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,Y,343C,none,"Sub Bks (168&204), Pgs (20&194). GAO Federal Real Property Report.  TOJ to DC for Parks, Recreation & Open Space (Boathouse Row - Marina/Recreation)",5933.641159,617605.0034,RES 343C0000,
100,Triangle Park RES 326A,"Reno Rd.,38th St.,Huntington St. ,NW",TRIANGLE,DPR_326A,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,1,,326A,none,TOJ for Comp Plan,168.7188746,1214.418168,RES 326A0000,
101,Triangle Park RES 0326,"Wisconsin Ave.,42nd St.,Fessenden St.,NW",TRIANGLE,DPR_0326,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,1,,326,none,Subdivision Book 162 Page 2 (TOJ for Recreation Purposes),190.5047985,1182.775346,RES 03260000,
102,Galen Tait Memorial Park,"Western Ave.,48th St.,Ellicott St.,NW",TRIANGLE,DPR_0454,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,1,,454,none,TOJ for Comp Plan,170.0276605,1239.941144,RES 04540000,1972-12-14T00:00:00.000Z
103,Joe Cole,"Montello Ave. and Morse St., NE",REC CENTER GROUNDS,DPR_0708,Y,0,0,0,0,0,0,0,0,N,N,5,1,2,1,1,0,0,N,0,0,0,N,,N,0,3,Nne,Nne,Nne,RpLACE,Gd,Nne,MdSlp,N,5,,11,N,708,Wheatley Elementary School,(TOJ for Recreation Purposes),402.3354395,7107.079865,4066    0822,1969-01-22T00:00:00.000Z
104,Trinidad,"Trinidad Ave., at Childress St., NE",REC CENTER GROUNDS,DPR_0615,Y,0,0,0,0,0,0,0,0,N,N,0,0,0,0,0,0,0,,0,0,0,,,,0,0,,,,,,,,N,5,,11,,615,none,Subdivision Book 152 Page 138 (TOJ for Recreation Purposes),590.7554767,21615.09732,RES 06150000,1968-01-01T00:00:00.000Z
105,Boathouse Row,"Anacostia River (Both Banks) between John Phillip Sousa & 11th St. Bridges, SE",PARK,DPR_343D,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,N,343D,none,"Federal Government and the District of Columbia Conveyances and Transfers in Public Law 109-396 (Partial TOJ for Rec,Park, and Open Space)",2626.529931,52253.19455,RES 343D0000,
106,Jefferson Field,"7th and 9th Sts., to G and H Sts., SW",PARK,DPR_0626,Y,,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,N,6,,5,,626,Jefferson Junior High School,Subdivision Book 158 Page 37 (TOJ for Recreation Purposes),488.5971981,14475.22569,0414    0825,1972-11-14T00:00:00.000Z
107,Fort Stevens,"Luzon Ave., between Van Buren and 13th Sts., NW",REC CENTER GROUNDS,DPR_0631,Y,2,0,3,0,0,1,4,0,N,Y,10,1,7,1,1,0,0,N,,,,Y,,Y,3,20,RpAIR,Nne,Nw,RpLACE,Pr,ChnLnk,MdSlp,N,4,,9,,631,none,Subdivision Book 162 Page 2 (TOJ for Recreation Purposes),774.6421725,31997.53564,Multiple Lots,1926-01-01T00:00:00.000Z
108,Kingsman Field,"14th St. and Tennessee Ave., NE",PARK,DPR_0663,Y,2,0,0,0,0,0,0,0,N,N,0,0,0,0,0,0,0,N,0,0,0,,,N,1,7,Nne,,Nne,RpLACE,RpLACE,ChnLnk,Flt,N,6,,12,N,663,Kingsman,,298.858,4323.049251,Multiple Lots,1972-12-14T00:00:00.000Z
109,Mitchell Playground,"23rd & S Sts., NW",PARK,DPR_0672,Y,1,0,1,0,0,0,1,0,N,N,8,0,4,1,1,0,0,N,0,0,0,,,N,2,22,Nne,Pr,Nw,RpLACE,Gd,ChnLnk,Flt,N,2,,4,Y,672,none,Subdivision Book 162 Page 1 (TOJ for Recreation Purposes),367.1262086,7482.89673,Multiple Lots,1972-12-14T00:00:00.000Z
110,Twin Oaks Garden,"14th and Taylor Sts., NW",PARK,DPR_0040,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,4,,9,,none,Powell Elementary School,"Survey Book 91, Page 119",240.5373455,1758.699981,Multiple Lots,1929-01-01T00:00:00.000Z
111,Rosedale,"17th and Gales Sts., NE",REC CENTER GROUNDS,DPR_0041,Y,1,1,2,0,0,0,2,0,N,N,0,1,4,1,0,0,1,N,0,0,0,,,N,0,2,Nw,RpLACE,Nw,RpLACE,RpAIR,ChnLnk,Flt,N,6,,12,N,none,Gibbs Elementary School,,554.3818901,19198.91353,Multiple Lots,
112,Arboretum,"24th St. and Rand Pl., NE",REC CENTER GROUNDS,DPR_0042,Y,0,0,1,0,0,0,2,0,N,Y,0,1,7,1,0,0,0,Y,0,0,0,N,,N,0,0,Nne,Nne,RpAIR,RpLACE,Gd,Nne,Flt,N,5,,11,N,none,none,,445.7019952,10133.46201,Multiple Lots,
113,Westminster Playground,"907 Westminster St., NW",PARK,DPR_0043,Y,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,N,1,,5,,none,none,,96.012,574.83756,Multiple Lots,
114,Triangle Park RES 0347,"Missouri Ave., between Madison Ave. & 7th Sts., NW",TRIANGLE,DPR_0347,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,9,,347,none,,252.069233,2649.457002,3205    0802,
115,Lafayette,"Broad Branch Rd., between Quesada and 33rd Sts., NW",REC CENTER GROUNDS,DPR_0473,Y,1,,,,,,2,0,N,N,5,1,8,1,1,0,0,N,,,,N,,N,3,19,Nne,Gd,Nw,RpLACE,Pr,Nne,MdSlp,N,4,,1,,473,Lafayette Elementary School,"Subdivision 158, Page 37, TOJ to DC for Recreation Purposes",945.8845561,27146.63405,2011    0806,1972-11-14T00:00:00.000Z
116,Triangle Park RES 0329,"Massachusetts Ave.,36th St.,Fulton,NW",TRIANGLE,DPR_0329,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,3,,329,none,Subdivision Book 162 Page 2 (TOJ for Recreation Purposes),193.1065668,1626.168645,RES 03290000,
117,Triangle Park RES 0532,"Woodley Rd. & 29th St., NW",TRIANGLE,DPR_0532,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,2,,532,none,TOJ for Comp Plan,89.73624848,394.8318471,RES 05320000,
118,Triangle Park RES 309H,"Quarry Rd.,18th St.,Harva Rd. St.,NW",TRIANGLE,DPR_309H,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,4,,309H,none,TOJ for Comp Plan,88.39111391,379.9886687,RES 309H0000,
119,Kalorama Park,"Kalorama Rd., between Columbia Rd. & 19th St., NW",REC CENTER GROUNDS,DPR_0655,Y,0,0,2,0,0,0,0,0,N,N,3,1,0,1,1,0,0,N,0,0,0,N,,N,0,18,Nne,RpAIR,Nw,RpLACE,RpAIR,ChnLnk,MdSlp,Y,1,,4,Y,655,none,(TOJ for Recreation Purposes),464.702004,12830.17653,2550    0818,1972-12-14T00:00:00.000Z
120,Keene Playground,Rock Creek Church Rd. NE and Hamilton St. NE,FIELD,DPR_0497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,497,,"KEENE PLAYGROUND.  TRANSFERS OF JURISDICTION (TOJ) FOR RECREATION AND RELATED PURPOSES.  BOUNDARY CONSIST OF MULTIPLE LOTS (PARCELS 124/103, 125/15 & 16;  SQ.3700, LOT 802; SQ.3702, LOT 804",461.7706801,10956.27324,Multiple,1972-12-14T00:00:00.000Z
121,Triangle Park RES 305A,"Columbia Rd.,19th St.,Kalorama Rd.,NW",TRIANGLE,DPR_305A,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,4,,305A,none,TOJ for Comp Plan,90.23156594,360.5439385,2550S   0800,
122,Triangle Park RES 0145,"New Hampshire Ave.,17th St.,T St.,NW",TRIANGLE,DPR_0145,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,4,,145,none,TOJ for Comp Plan,97.37077593,393.1156195,RES 01450000,
123,S Street Dog Park,"New Hampshire Ave.,17th St.,S St.,NW",TRIANGLE,DPR_0144,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,4,,144,none,TOJ for Comp Plan.  Triangle Park RES 0144.  S Street Dog Park,162.8817165,1100.033217,RES 01440000,
124,Triangle Park RES 0674,"Lincoln Rd.,4th St.,Franklin St.,NE",TRIANGLE,DPR_0674,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,10,,674,none,Subdivision Book 162 Page 2 (TOJ for Recreation Purposes),381.0909296,6495.4417,RES 06740000,
125,Anna J. Cooper Circle,"T and 3rd Streets, NW",CIRCLE,DPR_0311,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,4,,311,none,TOJ for Comp Plan,95.6119829,727.4694942,RES 03110000,2004-01-01T00:00:00.000Z
126,Triangle Park RES 0376,"Rhode Island Ave.,14th St.,Brentwood Rd.,NE",TRIANGLE,DPR_0376,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,10,,376,none,TOJ for Comp Plan,178.0291156,1386.121452,RES 03760000,
127,Triangle Park RES 313F,"Girard St.,16th St.,Brentwood Rd.,NE",TRIANGLE,DPR_313F,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,10,,313F,none,TOJ for Comp Plan,95.58075644,403.9104297,RES 313F0000,
128,Triangle Park RES 313E,"Bladensburg Rd.,28th St.,Douglas St.,NE",TRIANGLE,DPR_313E,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,11,,313E,none,TOJ for Comp Plan,137.6278223,800.7428623,RES 313E0000,
129,Triangle Park RES 313D,"Bladensburg Rd.,30th St.,Douglas St.,NE",TRIANGLE,DPR_313D,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,11,,313D,none,TOJ for Comp Plan,109.4122467,513.0272775,RES 313D0000,
130,Triangle Park RES 0375,"South Dakota Ave., between 20th & Otis Sts., NE",TRIANGLE,DPR_0375,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,10,,375,none,TOJ for Comp Plan,127.6986154,691.12512,4226    0043,
131,Triangle Park RES 0582,"South Dakota Ave., between Randolph & 19th Sts., NW",TRIANGLE,DPR_0582,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,11,,582,none,TOJ for Comp Plan,100.2921449,604.0844067,RES 05820000,
132,Triangle Park RES 322B,"Michigan Ave, 12th and Shepherd Streets, NE
",TRIANGLE,DPR_322B,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,10,,322B,none,TOJ for Comp Plan,200.8567284,1723.916723,RES 322B0000,
133,Triangle Park RES 323A,"New Hampshire Ave.,Sherman Ave.,Park Place,NW",TRIANGLE,DPR_323A,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,4,,323A,none,TOJ for Comp Plan,134.5748911,784.8452368,RES 323A0000,
134,Triangle Park RES 0309,"Mt. Pleasant St.,17th St.,Lamont St.,NW",TRIANGLE,DPR_0309,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,4,,309,none,TOJ for Comp Plan,113.1251328,558.9027389,RES 03090000,
135,Triangle Park RES 0321,"Rock Creek Church Rd.,5th St.,Quincy St.,NW",TRIANGLE,DPR_0321,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,10,,321,none,TOJ for Comp Plan,168.1663194,764.6292405,RES 03210000,
136,Triangle Park RES 323E,"Kansas Ave.,13th St.,Quincy St.,NW",TRIANGLE,DPR_323E,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,9,,323E,none,TOJ for Comp Plan,123.5409273,591.1764691,RES 323E0000,
137,Triangle Park RES 310B,"Ogden St.,14th St.,Oak St.,NW",TRIANGLE,DPR_310B,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,4,,310B,none,TOJ for Comp Plan,78.67210275,303.3109087,RES 310B0000,
138,16th Street Playground,"16th and Lamont Sts., NW",REC CENTER GROUNDS,DPR_0579,Y,1,0,1,0,0,1,2,0,N,N,,,,1,0,0,0,,,,,,,,,,,,,,,,,N,1,,4,,579,Lincoln Middle School,"Subdivision 152, Page 140.  TOJ to DC for recreation purposes",455.8531846,11821.04678,Multiple Lots,
139,Triangle Park RES 0318,"Georgia Ave.,9th St.,Upshur St.,NW",TRIANGLE,DPR_0318,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,10,,318,none,TOJ for Comp Plan,194.2149459,761.1672931,RES 03180000,
140,Spring Valley Park,"49th St. and Fordham Rd., south of Quebec St., NW",PARK,DPR_0543,Y,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,N,3,,3,,543,none,Subdivision Book 162 Page 2 (TOJ for Recreation Purposes),841.0693248,10925.40109,1474    0805,1972-01-01T00:00:00.000Z
141,Triangle Park RES 0353,"Massachusetts Ave.,47th St. ,Upton St.,NW",TRIANGLE,DPR_0353,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,3,,353,none,TOJ for Comp Plan,142.6827802,895.752929,1556W   0800,
142,Triangle Park RES 0350,"Massachusetts Ave.,50th St.,Yuma St.,NW",TRIANGLE,DPR_0350,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,3,,350,none,Subdivision Book 162 Page 2 (TOJ for Recreation Purposes),212.1660549,1928.374362,1483    0800,
143,Virginia Avenue,"L St., between 9th and 11th Sts., SE",REC CENTER GROUNDS,DPR_0126,Y,0,0,1,0,0,0,0,0,N,N,0,0,0,1,0,0,0,N,0,0,0,N,,N,0,0,,RpLACE,RpLACE,,RpAIR,ChnLnk,Flt,N,6,,12,N,126,none,Subdivision Books (158 & 169) Pages (11 & 65) (TOJ for Recreation Purposes),427.7439445,9645.634376,0952    0805,1971-10-18T00:00:00.000Z
144,Book Hill Park,"Wisconsin Ave. and R St., NW",PARK,DPR_0325,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,2,,3,,325,none,Subdivision Book 162 Page 1 (TOJ for Recreation Purposes),250.7395813,2510.64692,RES 06560000,1979-01-01T00:00:00.000Z
145,Hobart Twins Park,"Hobart Pl. and Harvard St., west of Georgia Ave., NW",PARK,DPR_0331,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,1,,4,,"0331,331A",none,Subdivision Book 162 Page 2 (TOJ for Recreation Purposes),131.6751205,535.129712,Multiple Lots,1972-12-14T00:00:00.000Z
146,Yards Park,"355 Water St, SE",PARK,DPR_0004,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,none,,Temporary Boundary,1122.369344,21372.88044,Multiple Lots,
147,Fort Dupont Urban Farm,3779 ELY PLACE SE,REC CENTER GROUNDS,DPR_0407,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,405,,Merged lots 800-803 sq 5438,1433.715565,59157.41802,Multiple Lots,
148,Triangle Park RES 0084,"Massachusetts Ave., between 9th St & A St, Ne",TRIANGLE,DPR_0086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,86,none,TRIANGLE (TRANS TO DC) 12/14/1972,102.3020729,654.3425625,RES 00860000,1972-12-14T00:00:00.000Z
149,East Potomac Pool,"1000 Ohio Dr., SW",POOL/SPRAY PARK,DPR_0333,Y,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,333,none, ,269.2594157,3228.320799,PAR 03160005,
150,Petworth,"Taylor St., between 8th and 9th Sts., NW",REC CENTER GROUNDS,DPR_0710,Y,0,0,2,0,0,0,0,0,N,N,3,0,0,1,1,0,0,Y,1,0,0,Y,,N,0,6,Nw,Pr,Nw,RpLACE,Pr,ChnLnk,MdSlp,N,4,,10,Y,710,none,Subdivision Book 158 Page 11 (TOJ to DC for Recreation purposes),274.3205876,3864.746117,3025    0812,1971-10-18T00:00:00.000Z
151,Barry Farms Playground,"Martin Luther King Jr. Blvd., between Howard & Summer Rds., SE",REC CENTER GROUNDS,DPR_0474,Y,1,0,2,0,0,0,1,0,,,1,1,1,1,1,0,1,N,,,,Y,,N,0,0,RpLACE,RpAIR,RpAIR,RpLACE,RpAIR,ChnLnk,Flt,Y,8,,7,,474,Birney Elementary School,Subdivision Book 152 Page 139 (TOJ to DC for Recreation purposes),967.8719408,36283.96596,RES 04740000,1968-01-01T00:00:00.000Z
152,Triangle Park RES 0258,"Potomac Ave. and E Street, SE",SMALL PARK,DPR_0258,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,12,,258,none,TOJ for Comp Plan,152.7302714,921.0391119,RES 02580000,
153,Randle Highlands,"3000 R St., SE",PARK,DPR_0028,Y,,,,,,,2,,,Y,,,,,,,,,,,,,,,,,,,,,,,,N,7,,7,,none,Randle Highlands Elementary School,,570.705835,16509.78751,5663    0074,
154,Friendship,"45th St., Van Ness and Massachusetts Ave., NW",REC CENTER GROUNDS,DPR_0613A,Y,3,1,2,0,0,0,2,0,N,Y,5,1,7,1,1,0,0,N,0,0,0,N,,N,1,0,Nne,Gd,Nw,RpLACE,Pr,ChnLnk,Flt,Y,3,,2,Y,"0613,0613A",none,Subdivision Book 158 Page 37 (TOJ for Recreation Purposes),1273.295182,41096.05054,Multiple Lots,1972-11-14T00:00:00.000Z
155,Carolina Park,"Manning Place and Macomb Streets, south of Sherier",PARK,DPR_0400,Y,,,,,,,,,,Y,,,,1,,,,,,,,,,,,,,,,,,,,N,3,,3,,"4,000,401",none,Subdivision Book 158 Page 50 (TOJ for Recreation Purposes),428.0791648,5184.113483,Multiple Lots,1972-12-14T00:00:00.000Z
156,Shepherd Field,"Kalmia and Jonquil Sts., NW",PARK,DPR_0437,Y,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,N,4,,9,,437,Shepherd Elementary School,Subdivision Book 158 Page 37 (TOJ for Recreation Purposes),557.5703034,18293.49298,Multiple Lots,1972-11-14T00:00:00.000Z
157,Volta Park Recreation Center,1555 34TH STREET NW,REC CENTER GROUNDS,DPR_0472,Y,1,0,2,0,0,0,2,0,N,N,4,0,5,1,1,0,1,N,0,0,0,N,,N,2,0,Nne,Gd,Nw,RpLACE,RpLACE,ChnLnk,Flt,N,2,,3,,472,none,Subdivision Book 162 Page 1 (TOJ for Recreation Purposes),407.0472684,10275.56827,Multiple Lots,1972-12-14T00:00:00.000Z
158,Triangle Park RES 0393,"Lincoln Rd.,2nd St. ,Channing St.,NE",TRIANGLE,DPR_0393,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,10,,393,none,TOJ for Comp Plan,173.9858948,821.066678,RES 03930000,
159,Triangle Park RES 0513,"6th St., between Evarts & Edgewood Sts., NE",TRIANGLE,DPR_0513,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,10,,513,none,TOJ for Comp Plan,157.4161253,980.1941236,RES 05130000,
160,Triangle Park RES 0515,"Nevada Ave.,Broadbranch Rd.,Chapel Rd.,NW",TRIANGLE,DPR_0516,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,1,,515,none,(Partial TOJ to NPS - 30th Street NW),114.5259264,779.4568474,RES 05150000,
161,Linnean Park,"Linnean Ave. and Broad Branch Rd., NW",PARK,DPR_0625,Y,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,N,3,,1,,625,none,Subdivision Book 162 Page 2 (TOJ for Recreation Purposes),1013.751859,22219.48553,Multiple Lots,1972-12-14T00:00:00.000Z
162,10th Street Community Park,"10th Street NW, between L Street NW and M Street NW",SMALL PARK,DPR_0010,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,none,none,,115.266,498.9771321,0369    0874,
163,Belmont Park,"Connecticut Ave., NW and Belmont Rd., NW",PARK,DPR_0360,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,360,none,BELMONT PARK DESIGNATION AND ESTABLISHMENT ACT OF 2013.  BELMONT PARK,675.4234209,10841.26859,PAR 03050007,2014-06-04T00:00:00.000Z
