Dir_Name_Display,Dir_School_Code,Dir_Street,Dir_City,Dir_State,Dir_Zip,Dir_School_Code - Longitude,Dir_School_Code - Latitude,Dir_Ward,Dir_Phone,Dir_Fax,Dir_Website,Principal_Name,Principal_Email,GR_Text,Hours,Highlight,Aca_Enr_1,Aca_Enr_2,Aca_Enr_3,Aca_Enr_4,Aca_Enr_5,Well_Fit_1,Well_Fit_2,Well_Fit_3,Well_Fit_4,Well_Fit_5,Art_Cult_1,Art_Cult_2,Art_Cult_3,Art_Cult_4,Art_Cult_5,SPED_1,SPED_2,SPED_3,SPED_4,SPED_5,SPED_6,Feed_1,Feed_2,Feed_3,Feed_4,Feed_5,Feed_6,Feed_7,Dest_1,Dest_2,Facil_Art,Facil_Audit,Facil_Comp,Facil_Gym,Facil_Media,Facil_Music,Facil_Outdoor_Rec,Facil_Pool,Facil_Science,After_care,Before_care,Uniform,Title_1,Offers_Guaranteed_PK3_PK4_Slots?,Family_Active_Parent_Org,Partner_1,Partner_2,Partner_3,Partner_4,Partner_5,Partner_6,Partner_7,Partner_8,Partner_9,Partner_10,Car_Path_1,Car_Path_2,Car_Path_3,Car_Path_4,Car_Path_5,Car_Path_6,Car_Path_7,Car_Path_8,Trans_Bus,Trans_Metro,AYP_Status,AYP_Status_Desc,Energy_Star_Rtg,DCPS_Recycles_Honor_Roll?,LEED_Level,Enroll_Total,Demo_Asian,Demo_Black,Demo_Hispanic,Demo_N.Amer,Demo_White,Demo_Multi,Demo_NHawPI,Demo_ELL,Demo_SPED,Demo_EconDis,Demo_Inboundary,math_pct_1_current,math_pct_1_prior,math_pct_2_current,math_pct_2_prior,math_pct_3_current,math_pct_3_prior,math_pct_4_current,math_pct_4_prior,math_pct_5_current,math_pct_5_prior,math_district_pct_1,math_district_pct_2,math_district_pct_3,math_district_pct_4,math_district_pct_5,ela_pct_1_current,ela_pct_1_prior,ela_pct_2_current,ela_pct_2_prior,ela_pct_3_current,ela_pct_3_prior,ela_pct_4_current,ela_pct_4_prior,ela_pct_5_current,ela_pct_5_prior,ela_district_pct_1,ela_district_pct_2,ela_district_pct_3,ela_district_pct_4,ela_district_pct_5,Perf_Grad_4yr_Current_Year,Perf_Grad_4yr_Prior_Year,Perf_Grad_4yr_District_Average,Perf_Grad_5yr_Current_Year,Perf_Grad_5yr_Prior_Year,Perf_Grad_5yr_District_Average,Perf_AP_Current_Year,Perf_AP_Prior_Year,Perf_AP_District_Average,Prog_Growth_Math_Current_Year,Prog_Growth_Math_Prior_Year,Prog_Growth_Math_District_Average,Prog_Growth_Read_Current_Year,Prog_Growth_Read_Prior_Year,Prog_Growth_Read_District_Average,Prog_9thGrade_Current_Year,Prog_9thGrade_Prior_Year,Prog_9thGrade_District_Average,Safe_ISA_Current_Year,Safe_ISA_Prior_Year,Safe_Attendance_District_Average,Safe_Truancy_Current_Year,Safe_Truancy_Prior_Year,Safe_Truancy_District_Average,Safe_Suspension_Current_Year,Safe_Suspension_Prior_Year,Safe_Suspension_District_Average,Safe_Incidents_Current_Year,Safe_Incidents_Prior_Year,Safe_Incidents_District_Average,Safe_Safety_Current_Year,Safe_Safety_Prior_Year,Safe_Safety_District_Average,Perf_Engage_Current_Year,Perf_Engage_Prior_Year,Perf_Engage_District_Average,Safe_Reenroll_Current_Year,Safe_Reenroll_Prior_Year,Safe_Reenroll_District_Average,Perf_Teachers_Current_Year,Perf_Teachers_Prior_Year,Perf_Teachers_District_Average,Unique_Defined1_Metric,Unique_Defined1_Description,Unique_Defined1_Current_Year,Unique_Defined1_Prior_Year,Unique_Defined1_District,Unique_Defined2_Metric,Unique_Defined2_Description,Unique_Defined2_Current_Year,Unique_Defined2_Prior_Year,Unique_Defined2_District
Turner Elementary School,329,3264 Stanton Rd. SE,Washington,DC,20032,-76.98031323,38.84763644,8,(202) 645-3470,(202) 610-9515,profiles.dcps.dc.gov/Turner+Elementary+School,Eric Bethel,eric.bethel@dc.gov,PK3-5th,8:45 a.m. – 3:15 p.m.,"At Turner Elementary School we prepare students in every possible way for academic success. Our mission is to facilitate a love for learning and to transform our students into lifelong learners. We are fortunate to have the support of many community partners and organizations to supplement our rigorous academic program. We are poised for success because we are turning potential into reality. Parents, staff and administrators are fully committed to creating an inclusive, engaging and rich learning environment for all of our students.",OST Academic Power Hour,International Baccalaureate PYP Program,IEP tutorial,Bring a Book to Life,Three-Year-Old Program,Cheerleading,Dream Academy,Safety Patrol,Boys and Girls Basketball,Flag Football,Live it Learn it,,,,,Medical & Education Support,,,,,,,,,,,,,416,,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,yes,yes,Dream Academy,Live it Learn it,,,,,,,,,,,,,,,,,92 94 D51 W1 W2 W3 W4 W6 W8,,Priority,"Priority schools need intense support to address overall low student performance, a graduation rate at or below 60% for two consecutive years, or for being previously designated a SIG school. Priority schools must develop an intervention plan that improves all students and report twice a year on meeting planned milestones.",23,,Gold,484,0%,98%,1%,0%,0%,0%,0%,1%,12%,100%,62%,37%,59%,30%,28%,19%,12%,12%,1%,2%,0%,23%,27%,23%,23%,5%,50%,53%,25%,28%,15%,14%,10%,5%,0%,0%,26%,21%,21%,25%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,60%,38%,51%,37%,40%,54%,NA,NA,NA,89%,93%,93%,58%,19%,13%,5%,8%,4%,0%,0%,0%,73%,81%,85%,85%,89%,89%,76%,75%,81%,100%,96%,92%,,,,,,,,,,
Tyler Elementary School,330,1001 G St. SE,Washington,DC,20003,-76.99204166,38.88108436,6,(202) 939-4810,(202) 698-3848,tylerelementary.net,Mitchell Brunson,mitchell.brunson@dc.gov,PK3-5th,8:35 a.m. - 3:15 p.m.,"Tyler Elementary School, located on Capitol Hill, is a vibrant learning community that supports all learners. At Tyler our mission is to Engage, Educate, and Empower all learners. Our motto written in Haiku form is ""Tyler Grows Learners; Arts, Language, Technology; Global Citizens"" summarizes the hopes Tyler has for all of its students. With a focus on arts integration, language learning and strong standards-based instruction, Tyler offers programming that includes Dual Language Spanish Immersion for preschool to fifth grade, an Arts-Focused program with deep exploration in a range of visual and performing arts, and specialized instruction for a variety of learners including students with Autism Spectrum Disorder. At Tyler, we ensure student success through strong partnerships with our families and the community.",School Enrichment Model Program,Three and Four Year-Old-Program,Polite Piggies Enrichment Program,Geoplunge,Odyssey of the Mind,Washington Tennis and Education,"Flag Football, Soccer, Kickball",Delete,"Flag Football, Soccer, Kickball","Dance Troupe, Cheerleading,",Dual Langauge Spanish Immersion,Creative Arts Program,Spanish Poetry Contest,Resident Artist Program,Spanish Film Club,Communication & Education Support,Early Childhood Communication & Education Support,Specific Learning Support,,,,,,,,,,,433,420,yes,yes,yes,yes,yes,yes,yes,no,no,yes,yes,yes,yes,no,yes,NASA,Everybody Wins,Phillips Collection,Kennedy Center,Shakespeare Theater Company,Food Prints,Hill Center,Step Afrika,National Gallery of Art Partnership,,,,,,,,,,30N 30S 32 34 36 39 90 92 B2 M6 V1 V4 DCCirculator,Blue/Orange/Silver Lines: Eastern Market Station,Focus,Focus schools need targeted support to address large subgroup achievement gaps relative to all schools in DC. Focus schools must develop an intervention plan to address specified subgroups and report twice a year on planned milestones.,68,,,514,1%,72%,11%,0%,14%,2%,0%,2%,15%,100%,26%,17%,22%,29%,28%,29%,32%,23%,17%,2%,2%,23%,27%,23%,23%,5%,22%,27%,29%,24%,24%,25%,22%,21%,3%,2%,26%,21%,21%,25%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,56%,34%,51%,45%,50%,54%,NA,NA,NA,95%,95%,93%,3%,0%,13%,2%,2%,4%,0%,0%,0%,90%,76%,85%,90%,85%,89%,84%,82%,81%,91%,94%,92%,PARCC math performance level change,The percentage of all 4-8 graders who moved up at least one performance level from one year to the next on the PARCC Math.,27%,11%,21%,PARCC ELA performance level change,The percentage of all 4-8 graders who moved up at least one performance level from one year to the next on the PARCC ELA.,35%,45%,35%
Walker-Jones Education Campus,332,1125 New Jersey Ave. NW,Washington,DC,20001,-77.01391569,38.90419198,6,(202) 939-5934,(202) 535-1307,walkerjoneseducampus.org,Clinton Turner,clinton.turner3@dc.gov,PK3-8th,8:45 a.m. – 3:15 p.m.,"Walker-Jones Education Campus is a prekindergarten through 8th grade community-based school whose mission is to provide each student a diverse education in a safe, supportive environment that promotes self-discipline, motivation and excellence in learning through the four core principles of Knowledge, Service, Leadership, and Character.",Creative Curriculum,Fundations,DIEBELS,S.T. Math,Lexia,The Farm at Walker-Jones,The Walker-Jones Food Lab,First Home Care,Girls on the Run DC,Fresh Start Catering (DC Central Kitchen),Drumline,Girl Scouts,Chess Club,Art Club,,Communication & Education Support,Early Childhood Communication & Education Support,,,,,,,,,,,,467,,yes,no,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,no,no,Washington Redskins Charities,Grassroots Education Project,Booz Allen Hamilton,The Literacy Lab Reading Corps,Turn Around for Children,Amazon Corporation,REACH Inc. Tutoring,Government Accountability,National Public Radio,National Symphony Orchestra,,,,,,,,,70 74 79 80 96 D4 G2 P6 X2 X9 DCCirculator,Green/Yellow Lines: Mt. Vernon Square/7th Street-Convention Center Station,Focus,Focus schools need targeted support to address large subgroup achievement gaps relative to all schools in DC. Focus schools must develop an intervention plan to address specified subgroups and report twice a year on planned milestones.,11,,Silver,451,1%,93%,5%,0%,1%,0%,0%,3%,21%,100%,65%,35%,37%,27%,37%,24%,21%,13%,4%,1%,1%,23%,27%,23%,23%,5%,35%,40%,30%,32%,25%,20%,10%,7%,1%,1%,26%,21%,21%,25%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,51%,42%,51%,50%,38%,54%,NA,NA,NA,90%,89%,93%,44%,53%,15%,14%,7%,4%,0%,0%,0%,74%,78%,86%,66%,78%,85%,77%,77%,82%,89%,94%,92%,,,,,,,,,,
Watkins Elementary School (Capitol Hill Cluster),333,420 12th St. SE,Washington,DC,20003,-76.989997,38.883467,6,(202) 698-3355,(202) 698-3340,capitolhillclusterschool.org,Elena Bell,elena.bell@dc.gov,1st-5th,8:30 a.m. - 3:00 p.m.,"Watkins is a safe, comfortable and engaging learning environment. Watkins develops well-rounded students who work collaboratively and recognize their role as members of a larger community. With a curriculum focused on non-fiction writing, critical thinking skills and conceptual math, teachers emphasize the application of numeracy and literacy to real-world situations, use multiple methods to teach each skill and encourage students to explain and discuss their approach to solving problems. Five special subjects— art, music, computer, Spanish and physical education— reinforce and enhance the academic curriculum. Watkins employs Responsive Classroom, a research-based approach to education that encourages cooperation, empathy, responsibility, self-control and collaborative problem solving.",Reflex Math,First in Math,FOSS Science Lab,Differentiation Block,Spanish,Running Club,Food Prints Food Lab/Edible Gardens,Step Team,Morning BOKs exercise program,Responsive Classroom,OST and Springboard Enrichment Clubs,Step Team,Young Playwrights' Theater Cinema Club,Martin Luther King 'I Have a Dream' Speech Partnership with the National Park Service,DC Arts Consortium,,,,,,,,,,,,,,428,,yes,no,yes,yes,yes,yes,yes,no,yes,yes,yes,no,no,no,yes,Department of Parks and Recreation,Living Classrooms,Young Playwright's Theatre,FreshFarm Markets,PlayWorks,,,,,,,,,,,,,,30N 30S 32 34 36 39 96 97 B2 M6 V1 V4 DCCirculator,Blue/Orange/Silver Lines: Potomac Avenue Station,Rising,Rising schools need support to continue growth. They have an overall index score above 44 but less than 80 and are not identified as Priority or Focus schools by any other criteria.,63,Yes,,436,0%,68%,6%,0%,21%,5%,0%,2%,6%,32%,30%,10%,10%,15%,25%,28%,26%,41%,34%,7%,5%,23%,27%,23%,23%,5%,13%,15%,19%,23%,26%,32%,38%,28%,4%,3%,26%,21%,21%,25%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,69%,41%,51%,61%,47%,54%,NA,NA,NA,96%,96%,93%,3%,1%,13%,3%,5%,4%,0%,0%,0%,83%,80%,85%,84%,88%,89%,88%,83%,81%,100%,85%,92%,,,,,,,,,,
Deal Middle School,405,3815 Fort Dr. NW,Washington,DC,20016,-77.07519907,38.95289674,3,(202) 939-2010,(202) 282-1116,www.alicedeal.org,Diedre Neal (Interim),diedre.neal@dc.gov,6th-8th,8:45 a.m. – 3:15 p.m.,"Alice Deal Middle School combines a rigorous academic program with the nurturing environment of a neighborhood school. Located in the heart of northwest DC, the Deal Middle School campus includes the original historic Deal building, modernized to meet the needs of a blended learning environment, merged with new construction to meet the needs of a robust middle school communuty. At Deal, students receive an extremely challenging academic program, which encompasses participation in the International Baccalaureate Middle Years Program as well as music and visual arts. We also offer three foreign languages: Spanish, French and Mandarin Chinese, as well as a variety of extracurricular activities.",Daily Tutoring,(IB) International Baccalaureate,National History Day,Science Fair,Debate Team,Football and Basketball,Soccer and Lacrosse,Dance and Cheerleading,Cross-Country and Track,Fencing,School Musical,School Choir,Shakespeare Festival,Jazz Band,Concert Band,,,,,,,204,258,254,261,287,313,,463,,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,no,no,yes,Embassy Adoption Program,,,,,,,,,,,,,,,,,,30N 30S 31 33 37 96 D31 D32 D33 D34 H2 H3 H4 L1 L2 M4 N2,Red Line: Tenleytown station,Reward,Reward schools have the highest levels of student performance and growth as demonstrated by an overall index score at or above 80 or growth in overall index score that falls in the top 5% of all schools in DC.,1,Yes with Distinction,,1477,4%,29%,14%,0%,47%,5%,0%,5%,8%,12%,70%,6%,6%,12%,15%,27%,29%,47%,45%,9%,6%,23%,27%,23%,23%,5%,6%,6%,10%,12%,16%,20%,39%,42%,29%,20%,26%,21%,21%,25%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,59%,64%,51%,62%,47%,54%,NA,NA,NA,95%,95%,92%,5%,5%,19%,3%,3%,17%,0%,0%,1%,92%,89%,82%,86%,88%,75%,93%,95%,86%,80%,86%,92%,Course passage,The percentage of students passing all required core courses.,99%,99%,91%,World language enrollment,The percentage of students enrolled in one or more world language courses.,94%,95%,67%
Eliot-Hine Middle School,407,1830 Constitution Ave. NE,Washington,DC,20002,-76.97897792,38.89243149,6,(202) 939-5380,(202) 673-8063,www.eliothinemiddleschool.org,Eugenia Young,eugenia.young@dc.gov,6th-8th,9:00am - 3:30pm,"Eliot-Hine is an International Baccalaureate (IB) MYP school. Our goal is to develop inquisitive, international-minded learners who think globally and act compassionately. We offer a rigorous academic program supplemented by a variety of extracurricular activities such as but not limited to basketball, knitting, rocketry & robotics, and the only radio broadcast program run by middle school students in the city.",International Baccalaureate,Robotics course & club,READ 180,Radio Broadcast program,Spanish,Mindfulness Group,Peer Mediators,Football,Ski Club,Spirit Squad (Cheer & Step),Art Club,Concert Band,Junk Art Club,Book Club,International Club,Behavior & Education Support,Communication & Education Support,Independence & Learning Support,,,,274,280,295,,,,,457,,yes,yes,no,yes,yes,yes,yes,no,yes,yes,no,yes,yes,no,yes,Companies for Causes,Capitol Hill Community Foundation,Western Union,Embassy Adoption Program,Flamboyan Foundation,"Gilbert, LLP",Higher Achievement,Edgewood Brookland Family Support Collaborative,Md Bio Foundation,Brilliant Club,,,,,,,,,96 97 B2 D6 E32,Blue/Orange/Silver Lines: Stadium-Armory Station,Developing,Developing schools need support to continue growth. Developing schools have an overall index score above 25 but less than 45 and are not identified as Priority or Focus schools by any other criteria.,48,,In Progress,200,0%,93%,4%,0%,2%,3%,0%,2%,31%,100%,28%,51%,60%,37%,25%,8%,14%,4%,1%,1%,0%,23%,27%,23%,23%,5%,34%,46%,39%,28%,19%,17%,8%,9%,1%,0%,26%,21%,21%,25%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,37%,32%,51%,45%,39%,54%,NA,NA,NA,92%,90%,92%,10%,10%,19%,21%,19%,17%,1%,0%,1%,65%,76%,82%,53%,76%,75%,79%,82%,86%,93%,100%,92%,,,,,,,,,,
School Without Walls @ Francis-Stevens,409,2425 N St. NW,Washington,DC,20037,-77.052321,38.9074695,2,(202) 724-4841,(202) 724-3957,www.swwfs.org,Richard Trogisch,richard.trogisch@dc.gov,PK3-8th,8:45 a.m. – 3:15 p.m.,"School Without Walls at Francis Stevens will provide every student with a rigorous college preparatory, humanities program that incorporates global and local resources in an experiential and interdisciplinary methodology to teaching and learning. We prepare our students for their academic futures and ensure that they have the proper social and life skills to be responsible global citizens. Our dedicated staff truly care about our students and are committed to providing a rigorous and high-quality education. All of the instruction students receive is standards-based and we offer a variety of enrichment activities, such as Latin foreign language classes, to supplement our core academic program.",Eureka Mathematics,Project Lead the Way,Embassy Adoption Program,Tools of the Mind Early Childhood Curriculum,Advanced Placement Alignment 6-12,George Washington University,Girls on the Run,Everybody Wins,YMCA,Foodprints,Kennedy Center Partnership,Walking Tree Travel,Department of Interior,Capital Language Service,Embassy Adoption Program,Communication & Education Support,Independence & Learning Support,,,,,305,326,,,,,,454,,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,no,no,yes,YMCA,Squire Patton Boggs,Kennedy Center for Performing Arts,Everybody Wins! DC,Capital World Language Services,FoodPrints,Embassy Adoption Program,The Advisory Board,The George Washington University,Girls on the Run,,,,,,,,,30N 30S 31 33 32 36 37 38B 39 D1 D2 D4 D5 D6 G2 H1 L1 N2 N4 N6 X1 DCCirculator,Blue/Orange/Silver Lines: Foggy Bottom/GWU Station,Rising,Rising schools need support to continue growth. They have an overall index score above 44 but less than 80 and are not identified as Priority or Focus schools by any other criteria.,52,Yes with Distinction,,471,7%,50%,15%,1%,22%,6%,0%,9%,14%,35%,31%,15%,18%,17%,30%,32%,26%,31%,24%,5%,1%,23%,27%,23%,23%,5%,14%,18%,17%,26%,26%,30%,36%,24%,7%,3%,26%,21%,21%,25%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,68%,46%,51%,59%,47%,54%,NA,NA,NA,93%,94%,93%,13%,20%,15%,3%,3%,4%,0%,1%,0%,91%,88%,86%,88%,78%,85%,83%,88%,82%,94%,100%,92%,PARCC math performance level change,The percentage of all 4-8 graders who moved up at least one performance level from one year to the next on the PARCC Math.,21%,16%,21%,PARCC ELA performance level change,The percentage of all 4-8 graders who moved up at least one performance level from one year to the next on the PARCC ELA.,43%,23%,35%
Hart Middle School,413,601 Mississippi Ave. SE,Washington,DC,20032,-76.99717875,38.83773787,8,(202) 671-6426,(202) 645-3426,www.charleshartmiddle.org/,Charlette Butler,charlette.butler@dc.gov,6th-8th,8:45 a.m. – 3:15 p.m.,"Charles Hart Middle School proudly serves the students and families in our community. We value education and uphold a culture of transparency, open communication and collaboration among all of our stakeholders. We encourage our students to be lifelong learners and positive citizens.",Read 180,HEROS,Academic Intervention Support,Tutorial Services,,Athletics,Robotics,Cheerleading,Chess Challenge,DC Scores,Drama Club,DC Creative Writing Workshop,Dance Class,,,Behavior & Education Support,Communication & Education Support,Independence & Learning Support,,,,249,344,294,315,,,,452,,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,no,no,Turning the Page,First Home Care,Capital One,Afterschool Allstars,Communities in Schools,,,,,,,,,,,,,,A2 A6 A7 A8 A9 W1 W2 W3 W4,,Focus,Focus schools need targeted support to address large subgroup achievement gaps relative to all schools in DC. Focus schools must develop an intervention plan to address specified subgroups and report twice a year on planned milestones.,52,,,349,0%,99%,1%,0%,0%,0%,0%,1%,24%,100%,75%,52%,56%,27%,32%,18%,11%,2%,1%,0%,0%,23%,27%,23%,23%,5%,41%,51%,37%,34%,16%,13%,6%,2%,0%,0%,26%,21%,21%,25%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,45%,39%,51%,45%,45%,54%,NA,NA,NA,91%,91%,92%,13%,13%,19%,29%,30%,17%,2%,3%,1%,75%,74%,82%,77%,71%,75%,80%,82%,86%,96%,87%,92%,,,,,,,,,,
J.O. Wilson Elementary School,339,660 K St. NE,Washington,DC,20002,-76.99658902,38.902758,6,(202) 698-4733,(202) 698-4727,http://www.jowilsondc.org,Heidi Haggerty,heidi.haggerty@dc.gov,PK3-5th,8:45 a.m. – 3:15 p.m.,"J. O. Wilson’s mission is to provide a comprehensive educational experience within an environment that is nurturing, receptive, and responsive to the needs of our students, staff, parents and the community as a whole. We commit to using best practices in developing programs that will ensure the intellectual, emotional and physical well-being of our students.
 
We strive to provide an environment that promotes academic excellence and produces citizens who are prepared to meet the demands of higher education and life. We employ a challenging, innovative, and student-focused curriculum and we believe in supporting our teachers in their own continued professional development so that every teacher can continue to inspire their students.",Kid Power,Three-Year-Old and Four-Year-Old Program,Live It Learn It,Creative Curriculum,SEM Program,Scouting,Kickball,Cheerleading,Soccer,,City Dance (Washington Ballet),Joy of Motion,World Langages: Spanish,National Gallery of Art,Geoplunge,Early Learning Support,Independence & Learning Support,Specific Learning Support,,,,,,,,,,,428,,yes,yes,yes,no,yes,yes,yes,no,no,yes,yes,yes,yes,no,yes,U.S Dept.of Justice(FBI),U.S.Court of Appeals,Equal Employment Opportunity Commission,Community One Inc.,The Washington School Of Ballet,Friends of J.O.Wilson,Pilgrim Baptist Church,H St. Community Development Corporation,Mt. Calvary Episcopal Church,Washington Lawyer's Committee,,,,,,,,,90 92 D4 D8 X1 X2 X3 X9,,Rising,Rising schools need support to continue growth. They have an overall index score above 44 but less than 80 and are not identified as Priority or Focus schools by any other criteria.,21,Yes,,495,1%,82%,6%,0%,7%,3%,0%,3%,15%,100%,27%,18%,14%,21%,25%,31%,27%,29%,31%,1%,4%,23%,27%,23%,23%,5%,24%,21%,19%,26%,31%,29%,23%,23%,3%,1%,26%,21%,21%,25%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,41%,44%,51%,44%,46%,54%,NA,NA,NA,93%,94%,93%,26%,17%,13%,5%,4%,4%,0%,0%,0%,84%,79%,85%,83%,78%,89%,81%,83%,81%,88%,93%,92%,,,,,,,,,,
Johnson Middle School,416,1400 Bruce Pl. SE,Washington,DC,20020,-76.98370368,38.85133691,8,(202) 939-3140,(202) 645-5882,http://www.johnsonmiddledc.com/,Courtney Taylor,courtney.taylor@dc.gov,6th-8th,8:45 a.m. – 3:15 p.m.,"John Hayden Johnson Middle School provides a safe environment that promotes high academic achievement, instills character and empowers students to be productive citizens. Students are encouraged to contribute positively to their communities.  In order to move students towards college and career readiness Johnson implements the Blended Learning small group rotation model, which integrates the use of technology throughout interdisciplinary activities. All stakeholders at John Hayden Johnson Middle School are expected to demonstrate pride and leadership skills in order to promote a legacy of achievement.",Read 180,Intervention Hour,Schoolwide Enrichment Model (SEM),WJHJ News Team,Creative Writing,Big Brothers/Big Sisters,Teens Run DC,DC Scores (Poetry and Soccer),Football,Basketball,Band,Drumline,Chorus,Step Team,Drama,Behavior & Education Support,Independence & Learning Support,,,,,238,308,329,,,,,452,,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,yes,yes,no,no,Communities in Schools,Far SouthEast Family Collaborative,Casey Trees,,,,,,,,,,,,,,,,92 94 D51 W1 W2 W3 W4 W6 W8,,Priority,"Priority schools need intense support to address overall low student performance, a graduation rate at or below 60% for two consecutive years, or for being previously designated a SIG school. Priority schools must develop an intervention plan that improves all students and report twice a year on meeting planned milestones.",41,,,252,0%,95%,4%,0%,0%,1%,0%,0%,18%,100%,59%,57%,55%,31%,35%,11%,9%,2%,2%,0%,0%,23%,27%,23%,23%,5%,51%,59%,28%,26%,16%,10%,4%,4%,0%,0%,26%,21%,21%,25%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,41%,42%,51%,41%,34%,54%,NA,NA,NA,88%,95%,92%,38%,8%,19%,29%,37%,17%,2%,2%,1%,83%,80%,82%,83%,79%,75%,88%,84%,86%,94%,100%,92%,PARCC math performance level change,The percentage of all 4-8 graders who moved up at least one performance level from one year to the next on the PARCC Math.,14%,15%,21%,PARCC ELA performance level change,The percentage of all 4-8 graders who moved up at least one performance level from one year to the next on the PARCC ELA.,22%,14%,35%
Kelly Miller Middle School,421,301 49th St. NE,Washington,DC,20019,-76.93245515,38.89331541,7,(202) 388-6870,(202) 727-8330,http://kellymillerms.org,Kortni Stafford,kortni.stafford@dc.gov,6th-8th,8:00 a.m.- 3:15 p.m.,"The mission of Kelly Miller Middle School is the flagship school in Washington, DC with a strong focus on academics, school-wide enrichment, and family engagement. Kelly Miller Middle School provides students with a wide array of academic and extracurricular offerings that cater to diverse student interests and that cultivate the whole child.",Gifted & Talented Program,Targeted Intervention Blocks,Spanish,Accelerated Studies Program,Arabic,DC Scores,Track & Field,Football,Basketball,Baseball,Step Team,Visual Art,Instrumental Music,,,Behavior & Education Support,Communication & Education Support,Independence & Learning Support,,,,202,221,247,231,251,288,322,464,,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,no,yes,Higher Achievement,City Year,Communities in Schools,Flamboyan,First Home Care,Atlas Fitness,Dreaming Out Loud,,,,,,,,,,,,96 97 U5 U6 U8 W4 X9,Blue/Orange/Silver Lines: Benning Rd Station,Rising,Rising schools need support to continue growth. They have an overall index score above 44 but less than 80 and are not identified as Priority or Focus schools by any other criteria.,14,,,449,0%,96%,3%,0%,0%,0%,0%,2%,18%,100%,85%,40%,36%,34%,33%,20%,24%,7%,7%,0%,0%,23%,27%,23%,23%,5%,32%,38%,31%,29%,26%,26%,11%,7%,1%,0%,26%,21%,21%,25%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,42%,44%,51%,46%,44%,54%,NA,NA,NA,88%,88%,92%,47%,21%,19%,32%,33%,17%,3%,5%,1%,75%,76%,82%,66%,68%,75%,74%,84%,86%,95%,100%,92%,PARCC ELA performance level change,The percentage of all 4-8 graders who moved up at least one performance level from one year to the next on the PARCC ELA.,21%,20%,35%,,,,,
King Elementary School,344,3200 6th St. SE,Washington,DC,20032,-76.99823899,38.84244319,8,(202) 939-4900,(202) 645-7308,kingdc.org,Angel Hunter,angel.hunter@dc.gov,PK3-5th,8:45 a.m. – 3:15 p.m.,"Located in Congress Heights in Southeast DC, Martin Luther King, Jr. Elementary School seeks to inspire young learners to become highly motivated contributors to society. We believe in a demanding educational agenda that builds on the active engagement of school, parents and community and our staff maintains a steadfast commitment to continuous student achievement. King's best practices for academic excellence are enhanced by a variety of community partnerships. The success of King is a responsibility shared by dedicated staff, students, families and members of the community.
",Three-Year-Old Program,Four-Year-Old Program,Innovative Educational Programs,Creative Curriculum,,Cheerleading,Indoor/Outdoor Track and Field,Basketball,,,Arts and Crafts,Science Club,Percussion Club,Scrabble Club,Book Club,,,,,,,,,,,,,,413,,yes,no,yes,yes,yes,yes,yes,no,no,yes,no,yes,yes,yes,yes,Rehobeth United Methodist Church,City Year,Reading Partners,Reach,First Home Care,Connected Psychology,,,,,,,,,,,,,A2 A4 A6 A7 A8 A9 W1 W2 W3 W4,Green line: Congress Heights Station,Focus,Focus schools need targeted support to address large subgroup achievement gaps relative to all schools in DC. Focus schools must develop an intervention plan to address specified subgroups and report twice a year on planned milestones.,32,,,374,0%,98%,2%,0%,0%,0%,0%,1%,12%,100%,40%,29%,32%,34%,34%,23%,21%,12%,13%,1%,1%,23%,27%,23%,23%,5%,35%,39%,30%,32%,25%,21%,10%,8%,0%,1%,26%,21%,21%,25%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,52%,51%,51%,41%,45%,54%,NA,NA,NA,87%,91%,93%,60%,40%,13%,12%,10%,4%,0%,0%,0%,71%,61%,85%,85%,74%,89%,71%,76%,81%,100%,100%,92%,,,,,,,,,,
