Dir_Name_Display,Dir_School_Code,Dir_Street,Dir_Zip,AYP_Status,AYP_Status_Desc,Energy_Star_Rtg,Enroll_Total,Prog_Growth_Math_Current_Year,Prog_Growth_Read_Current_Year,Perf_Growth,Safe_ISA_Current_Year,Safe_Attendance_District_Average,Safe_Truancy_Current_Year,Safe_Suspension_Current_Year,Safe_Incidents_Current_Year,Safe_Safety_Current_Year,Perf_Safe,Perf_Teacher,Perf_Engage_Current_Year
School Without Walls High School,466,2130 G St. NW,20037,Reward,Reward schools have the highest levels of student performance and growth as demonstrated by an overall index score at or above 80 or growth in overall index score that falls in the top 5% of all schools in DC.,22,585,NA,NA,NA,91%,78%,4%,1%,0%,99%,2.63,0.97,0.95
Smothers Elementary School,322,4400 Brooks St. NE,20019,Focus,Focus schools need targeted support to address large subgroup achievement gaps relative to all schools in DC. Focus schools must develop an intervention plan to address specified subgroups and report twice a year on planned milestones.,72,253,47%,53%,0.50,90%,93%,15%,13%,0%,71%,2.26,0.91,0.7
Stanton Elementary School,319,2701 Naylor Rd. SE,20020,Developing,Developing schools need support to continue growth. Developing schools have an overall index score above 25 but less than 45 and are not identified as Priority or Focus schools by any other criteria.,22,520,41%,46%,0.44,92%,93%,25%,7%,0%,68%,2.21,0.87,0.84
Washington Metropolitan High School,474,300 Bryant St. NW,20001,Priority,"Priority schools need intense support to address overall low student performance, a graduation rate at or below 60% for two consecutive years, or for being previously designated a SIG school. Priority schools must develop an intervention plan that improves all students and report twice a year on meeting planned milestones.",29,125,NA,NA,NA,54%,78%,86%,14%,1%,76%,1.07,0.82,0.92
Woodrow Wilson High School,463,3950 Chesapeake St. NW,20016,Focus,Focus schools need targeted support to address large subgroup achievement gaps relative to all schools in DC. Focus schools must develop an intervention plan to address specified subgroups and report twice a year on planned milestones.,92,1750,NA,NA,NA,83%,78%,54%,3%,0%,93%,1.97,0.87,0.85
H.D. Woodson High School,464,540 55th St. NE,20019,Priority,"Priority schools need intense support to address overall low student performance, a graduation rate at or below 60% for two consecutive years, or for being previously designated a SIG school. Priority schools must develop an intervention plan that improves all students and report twice a year on meeting planned milestones.",38,634,NA,NA,NA,61%,78%,88%,17%,0%,96%,1.3,0.92,0.95
Browne Education Campus,404,850 26th St. NE,20002,Developing,Developing schools need support to continue growth. They have an overall index score above 25 but less than 45 and are not identified as Priority or Focus schools by any other criteria.,11,309,55%,62%,0.59,92%,93%,15%,1%,0%,96%,2.65,0.88,0.96
Malcolm X Elementary School @ Green,308,1500 Mississippi Ave. SE,20032,Priority,"Priority schools need intense support to address overall low student performance, a graduation rate at or below 60% for two consecutive years, or for being previously designated a SIG school. Priority schools must develop an intervention plan that improves all students and report twice a year on meeting planned milestones.",69,237,44%,57%,0.51,87%,93%,24%,3%,0%,86%,2.39,NA,0.93
CHOICE Academy @ Wash Met,947,300 Bryant St. NW,20001,,,,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Peabody Elementary School (Capitol Hill Cluster),301,425 C St. NE,20002,,,2,231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
River Terrace Education Campus,304,405 Anacostia Ave. NE,20019,N/A,,11,131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.91,NA
Youth Services Center,861,1000 Mt. Olivet Rd. NE,20002,,,,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Van Ness Elementary School,331,1150 5th St SE,20003,,,7,171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
School-Within-School @ Goding,943,920 F St. NE,20002,,,76,307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inspiring Youth Program,950,1901 D St. SE,20003,,,,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ballou STAY High School,462,3401 4th St. SE,20032,,,74,466,NA,NA,NA,62%,62%,75%,5%,0%,95%,1.39,0.91,0.96
Roosevelt STAY High School,456,4301 13th St. NW,20011,,,90,613,NA,NA,NA,62%,62%,86%,2%,0%,97%,1.33,NA,0.97
