name,loc_type,street,town,other_address
Inova Medical Group Obstetrics & Gynecology,Clinics,6845 Elm St,"Mc Lean, VA 22101",
Walmart - Pharmacy,Clinics,6303 Richmond Hwy,"Alexandria, VA 22306",
David Drew Clinic,Clinics,5454 Wisconsin Ave Ste 1410,"Chevy Chase, MD 20815",
Inova Arrhythmia,Clinics,5530 Wisconsin Ave Ste 700,"Chevy Chase, MD 20815",
Virginia Medical Alliance,Clinics,5510 Alma Ln,"Springfield, VA 22151",
Inova Cardiac and Thoracic Surgery,Clinics,2921 Telestar Ct,"Falls Church, VA 22042",
Skin At Large,Clinics,6900 Wisconsin Ave,"Chevy Chase, MD 20815",
"Cytryn, Albert S, MD",Clinics,8505 Arlington Blvd Ste 210,"Fairfax, VA 22031",
Target - Pharmacy,Clinics,6600 Springfield Mall,"Springfield, VA 22150",
HSC,Clinics,1731 Bunker Hill Rd NE,"Washington, DC 20017",
Abortion Alternatives,Clinics,3230 Duke St,"Alexandria, VA 22314",
GW Immediate & Primary Care - McPherson Square,Clinics,1101 15th St NW,"Washington, DC 20005",
Center For Vein Restoration,Clinics,3301 New Mexico Ave NW Ste 336,"Washington, DC 20016",
Cryo Capital,Clinics,3301 New Mexico Ave NW,"Washington, DC 20016",
Professional Sports Rehab,Clinics,470 Lenfant Plz SW Ste 604,"Washington, DC 20024",
McClendon Center,Clinics,1313 New York Ave NW,"Washington, DC 20005",
Patient Care International,Clinics,1400 16th St NW,"Washington, DC 20036",
"Ansari, Zafar A, MD",Clinics,2849 Duke St,"Alexandria, VA 22314",
Progressive Physical Therapy Center,Clinics,901 6th St SW,"Washington, DC 20024",
Dr Janice Berry Edwards PHD,Clinics,2604 Connecticut Ave NW,"Washington, DC 20008",
Northwest Nurse Practitioner Associates,Clinics,3000 Connecticut Ave NW Ste 338,"Washington, DC 20008",
Northwest Pregnancy Center,Clinics,2702 Ontario Rd NW,"Washington, DC 20009",
Kingneth Medical Inc,Clinics,506 I St NW,"Washington, DC 20001",
addiction recovery connection,Clinics,1765 Duke street,"alexandria, VA 22314",
"Dr. Donald Edward Martin, MD",Clinics,1660 Columbia Rd NW,"Washington, DC 20009",
American Society Of Clinical Oncology,Clinics,330 John Carlyle St,"Alexandria, VA 22314",
Hillcrest Childrens Center,Clinics,915 Rhode Island Ave NW,"Washington, DC 20001",
Spring Valley Pediatrics,Clinics,4900 Massachusetts Ave NW Ste 7,"Washington, DC 20016",
Medstar Georgetown University,Clinics,4200 Wisconsin Ave NW,"Washington, DC 20016",
DaVita,Clinics,1225 S Capitol St SW,"Washington, DC 20003",
"Dr. Howard Jay Cohen, MD",Clinics,1501 Duke St Ste 100,"Alexandria, VA 22314",
Sanford Breast Health Institute,Clinics,901 4th Street NW,"Watertown, SD 57201",
Health Systems Agency Of N VA,Clinics,7245 Arlington Blvd Ste 300,"Falls Church, VA 22042",
Planned Parenthood,Clinics,1225 4th St NW,"Washington, DC 20001",
Jason Dring Physical Therapy,Clinics,4125 Albemarle St NW,"Washington, DC 20016",
DaVita,Clinics,500 N Capitol St NW,"Washington, DC 20001",
District Primary Care,Clinics,4301 Connecticut Ave NW,"Washington, DC 20008",
Target - Pharmacy,Clinics,3100 14th St NW Ste 201,"Washington, DC 20010",
DaVita,Clinics,7060 Columbia Pike,"Annandale, VA 22003",
"Dr. Glen Allen Chilstrom, PHD",Clinics,109 S Fairfax St,"Alexandria, VA 22314",
DaVita,Clinics,810 1st St NE Ste 100,"Washington, DC 20002",
McClendon Center,Clinics,1338 N Capitol St NW Apt 201,"Washington, DC 20002",
Unity Health Care,Clinics,40 Patterson St NE,"Washington, DC 20002",
Ama Medical,Clinics,5501 Cherokee Ave,"Alexandria, VA 22312",
DaVita,Clinics,1200 1st St NE,"Washington, DC 20002",
Community of Hope,Clinics,4 Atlantic St SW,"Washington, DC 20032",
Yancey Robert,Clinics,3104 Georgia Ave NW,"Washington, DC 20010",
Metropolitan Assessment And Requirements Center,Clinics,3104 Georgia Ave NW,"Washington, DC 20010",
Nirschl Orthopedics,Clinics,1499 Chain Bridge Rd,"Mc Lean, VA 22101",
Phobias Anxiety & Related,Clinics,5225 Wisconsin Ave NW,"Washington, DC 20015",
Capitol Dialysis Center,Clinics,140 Q St NE Ste 100,"Washington, DC 20002",
DaVita,Clinics,300 8th St NE,"Washington, DC 20002",
National Kidney Foundation,Clinics,5335 Wisconsin Ave NW Ste 300,"Washington, DC 20015",
Kaplan Center-Integrative Mdcn,Clinics,6829 Elm St Ste 300,"Mc Lean, VA 22101",
Metro Region Pet Center,Clinics,5454 Wisconsin Ave Ste 810,"Chevy Chase, MD 20815",
"Dr. Frederick Greiner Barr, MD",Clinics,5454 Wisconsin Ave Ste 1300,"Chevy Chase, MD 20815",
C M Prasad,Clinics,7510 Little River Tpke,"Annandale, VA 22003",
Washington Area Plastic Surgery,Clinics,106 Irving St NW Ste 2400,"Washington, DC 20010",
"Dr. Carol Christine Jagdeo, MD",Clinics,106 Irving St NW,"Washington, DC 20010",
Center For Vein Restoration,Clinics,106 Irving St NW,"Washington, DC 20010",
Cardiology Assoc PC,Clinics,106 Irving St NW Ste 1500,"Washington, DC 20010",
Unity Health Care,Clinics,1328 W St SE,"Washington, DC 20020",
Lifestyle Lift,Clinics,7700 Leesburg Pike Ste 108,"Falls Church, VA 22043",
K Physical Medicine Therapy,Clinics,7617 Little River Tpke Ste 430,"Annandale, VA 22003",
Kingstowne Pediatric Occupational Therapy Center,Clinics,6164 Fuller Ct,"Alexandria, VA 22310",
United Doctors Inc,Clinics,2841 Hartland Rd,"Falls Church, VA 22043",
Northern Virginia Institute Of Psychiatry,Clinics,5537 Hempstead Way,"Springfield, VA 22151",
Ad Niv,Clinics,2921 Telestar Ct,"Falls Church, VA 22042",
"Dr. Anthony J Rongione, MD",Clinics,2921 Telestar Ct,"Falls Church, VA 22042",
Dr. Behdad Aryavand M.D.,Clinics,2921 Telestar Ct,"Falls Church, VA 22042",
Kingstown Family Practice,Clinics,6206 Old Franconia Rd,"Alexandria, VA 22310",
Amazing Love Health Service,Clinics,702 15th St NE,"Washington, DC 20002",
Gateway Homes Inc,Clinics,4024 Hirst Dr,"Annandale, VA 22003",
Travel Clinic,Clinics,6226 Old Franconia Rd,"Alexandria, VA 22310",
Rai Care Center,Clinics,5410 Indian Head Hwy,"Oxon Hill, MD 20745",
Multi-Therapeutic Services Inc,Clinics,2852 Northampton St NW,"Washington, DC 20015",
Sleepmed Inc.,Clinics,3299 Woodburn Rd Ste 250,"Annandale, VA 22003",
Greater Southeast Community Dialysis Center,Clinics,1350 Southern Ave SE,"Washington, DC 20032",
DaVita,Clinics,920 Bladensburg Rd NE,"Washington, DC 20002",
Kingstowne Internal Medical,Clinics,5901 Kingstowne Village Pkwy,"Alexandria, VA 22315",
Multi-Therapeutic Svc Inc,Clinics,6014 32nd St NW,"Washington, DC 20015",
Rein Barbara & Associates,Clinics,6423 Shadow Rd,"Chevy Chase, MD 20815",
DaVita,Clinics,1205 Brentwood Rd NE,"Washington, DC 20018",
DaVita,Clinics,1231 Brentwood Rd NE,"Washington, DC 20018",
DaVita,Clinics,5695 King Centre Dr Ste 105,"Alexandria, VA 22315",
Developing Families Center,Clinics,801 17th St NE,"Washington, DC 20002",
Virginia Endocrinology Consultants,Clinics,8301 Arlington Blvd Ste 308,"Fairfax, VA 22031",
DaVita,Clinics,2425 25th St SE,"Washington, DC 20020",
Pediatrix Medical Group,Clinics,8316 Arlington Blvd Ste 500,"Fairfax, VA 22031",
Center For Vein Restoration,Clinics,8316 Arlington Blvd,"Fairfax, VA 22031",
Joanne Herrman MD,Clinics,8324 Professional Hill Dr,"Fairfax, VA 22031",
Simrel Kermit,Clinics,2600 Naylor Rd SE,"Washington, DC 20020",
Capitol Spine And Pain Centers,Clinics,3031 Javier Rd,"Fairfax, VA 22031",
Inova Health,Clinics,3020 Javier Rd,"Fairfax, VA 22031",
"Center For Foot & Ankle Care, PC",Clinics,3020 Hamaker Ct Ste 201,"Fairfax, VA 22031",
Vascular Laboratory of Fairfax,Clinics,3020 Hamaker Ct Ste 504,"Fairfax, VA 22031",
National Spine & Pain Center,Clinics,174 Waterfront St Ste 320,"Oxon Hill, MD 20745",
Aesthetic Medical Center,Clinics,8150 Leesburg Pike,"Vienna, VA 22182",
DaVita,Clinics,6169 Livingston Rd,"Oxon Hill, MD 20745",
Lomack Primary Care,Clinics,1615 Rhode Island Ave NE,"Washington, DC 20018",
DaVita,Clinics,2601 18th St NE,"Washington, DC 20018",
Servance & Associates,Clinics,6323 Georgia Ave NW,"Washington, DC 20011",
Universal Management,Clinics,6323 Georgia Ave NW,"Washington, DC 20011",
Medical Team Inc,Clinics,6564 Loisdale Ct,"Springfield, VA 22150",
Boone Wellness,Clinics,8230 Boone Blvd Ste 170,"Vienna, VA 22182",
DaVita,Clinics,1730 Hamlin St NE,"Washington, DC 20018",
Providence Hospital,Clinics,1150 Varnum St NE,"Washington, DC 20017",
Solstas Lab Partners,Clinics,2826 Old Lee Hwy,"Fairfax, VA 22031",
"Dr. Nassar Farid Khan, MD",Clinics,2826 Old Lee Hwy Ste 110,"Fairfax, VA 22031",
Commonwealth Orthopedics,Clinics,8180 Greensboro Dr,"Mc Lean, VA 22102",
Washington Potency & Urology,Clinics,6228 Oxon Hill Rd Ste 101,"Oxon Hill, MD 20745",
DaVita,Clinics,8003 Forbes Pl Ste 110,"Springfield, VA 22151",
GM Medical Office,Clinics,3300 Pennsylvania Ave SE,"Washington, DC 20020",
DaVita,Clinics,8391 Old Courthouse Rd Ste 160,"Vienna, VA 22182",
DaVita,Clinics,6192 Oxon Hill Rd,"Oxon Hill, MD 20745",
Greater Baden Medical Services,Clinics,6188 Oxon Hill Rd Ste 801,"Oxon Hill, MD 20745",
Palisades Eye Surgery Center,Clinics,4831 Cordell Ave,"Bethesda, MD 20814",
Bethesda Spine Rehab,Clinics,8218 Wisconsin Ave Ste 305,"Bethesda, MD 20814",
DaVita,Clinics,3857 Pennsylvania Ave SE,"Washington, DC 20020",
In Prc DC,Clinics,6856 Eastern Ave NW,"Washington, DC 20012",
DaVita,Clinics,5442 Saint Barnabas Rd,"Oxon Hill, MD 20745",
Da Vita Inc,Clinics,900 7th St NW,"Washington, DC 20001",
DaVita,Clinics,3857a Pennsylvania Ave SE,"Washington, DC 20020",
La Clinica Del Pueblo,Clinics,2831 15th St NW,"Washington, DC 20009",
The Center For Plastic Surgery Pc,Clinics,3299 Woodburn Rd Ste 490,"Annandale, VA 22003",
US Oncology,Clinics,3040 Williams Dr Ste 100,"Fairfax, VA 22031",
Virginia Foot and Ankle Center,Clinics,2826 Old Lee Hwy Ste 220,"Fairfax, VA 22031",
Motazedi Abbas MD,Clinics,1160 Varnum St NE Ste 111,"Washington, DC 20017",
Womens Health Care,Clinics,8311 Wisconsin Ave Ste C14,"Bethesda, MD 20814",
"Smith, Garrett",Clinics,73 Hawthorne Ct NE,"Washington, DC 20017",
Federal Center Recovery Svcs,Clinics,2000 Rhode Island Ave NE,"Washington, DC 20018",
John Sk Hsu DDS & Virginia J Chin DDS PC,Clinics,10801 Main St Ste 500,"Fairfax, VA 22030",
Pickett Center Dental Care,Clinics,9428 Main St,"Fairfax, VA 22031",
Elaine Ellis Center of Health,Clinics,1627 Kenilworth Ave. NE,"Washington, DC 20019",
Takoma Family Health Ctr,Clinics,7676 New Hampshire Ave Ste 418,"Takoma Park, MD 20912",
Community Clinic Inc,Clinics,7676 New Hampshire Ave Ste 220a,"Takoma Park, MD 20912",
Holy Cross Health Center in Silver Spring,Clinics,7987 Georgia Ave,"Silver Spring, MD 20910",
Jackson Clinic,Clinics,2960 Chain Bridge Rd Ste 201,"Oakton, VA 22124",
Whittles Physical Therapy,Clinics,9801 Georgia Ave,"Silver Spring, MD 20902",
Walk-in Medical Care,Clinics,6045 Burke Centre Pkwy,"Burke, VA 22015",
Oral Health Associates,Clinics,4316 Saint Barnabas Rd,"Temple Hills, MD 20748",
Phoenix Smiles Dental Center,Clinics,9854 Main St,"Fairfax, VA 22031",
Prince George's Hospital Center,Clinics,3001 Hospital Dr,"Hyattsville, MD 20785",
Virginia Integrative Health,Clinics,410 Pine St SE Ste 320,"Vienna, VA 22180",
Inova Urgent Care,Clinics,180 Maple Ave W,"Vienna, VA 22180",
Affordable Primary Care,Clinics,10721 Main St,"Fairfax, VA 22030",
MetroBest Clinic,Clinics,7826 Eastern Ave NW Suite 208,"Washington, DC 20012",
MinuteClinic,Clinics,3053 Nutley St,"Fairfax, VA 22031",
"Prime Medical Care: Dan Bishwakarma, MD",Clinics,8101 Hinson Farm Rd Ste 208,"Alexandria, VA 22306",
MinuteClinic,Clinics,337 Maple Ave E,"Vienna, VA 22180",
Um Senior Health Center,Clinics,3601 Taylor St,"Brentwood, MD 20722",
MinuteClinic,Clinics,8330 Old Keene Mill Rd,"Springfield, VA 22152",
A Plus Medical P.C.,Clinics,7505 New Hampshire Ave Ste 314,"Takoma Park, MD 20912",
MinuteClinic,Clinics,9520 Georgia Ave,"Silver Spring, MD 20910",
Pine Dentistry,Clinics,1147 University Blvd E,"Takoma Park, MD 20912",
MinuteClinic,Clinics,7939 New Hampshire Ave,"Hyattsville, MD 20783",
Regional Health Partners,Clinics,3915 Old Lee Hwy,"Fairfax, VA 22030",
Inova Emergency Center,Clinics,4315 Chain Bridge Rd,"Fairfax, VA 22030",
MinuteClinic,Clinics,10301 New Guinea Rd,"Fairfax, VA 22032",
Ibhs,Clinics,3611 Branch Ave Ste 404,"Temple Hills, MD 20748",
Galaxy Medical Services,Clinics,3611 Branch Ave Ste 403,"Temple Hills, MD 20748",
Bio Medical Applications,Clinics,4922 Lasalle Rd,"Hyattsville, MD 20782",
Lifematters,Clinics,99 Edgemoor Ln,"Bethesda, MD 20814",
Unity Health Care,Clinics,765 Kenilworth Ter NE,"Washington, DC 20019",
American Executive Health,Clinics,3085 Nutley St,"Fairfax, VA 22031",
Physical Therapy and Sports Assessment Center,Clinics,8380 Colesville Rd Ste 200,"Silver Spring, MD 20910",
Renal Advantage Inc,Clinics,2426 Chillum Rd,"Hyattsville, MD 20782",
Neurology Center,Clinics,8555 16th St Ste 310,"Silver Spring, MD 20910",
Learning Center,Clinics,4625 G St SE,"Washington, DC 20019",
Henry Jackson Usu Center,Clinics,8484 Georgia Ave,"Silver Spring, MD 20910",
Osteopathy National Center For,Clinics,8609 2nd Ave Ste 203b,"Silver Spring, MD 20910",
Healthcare Management Group,Clinics,1400 Spring St,"Silver Spring, MD 20910",
Asian Medical Center,Clinics,9001 Braddock Rd Ste 100,"Springfield, VA 22151",
Ambulatory Cardiac Catherztion,Clinics,7610 Carroll Ave,"Takoma Park, MD 20912",
Family First Dental,Clinics,4813 Marlboro Pike,"Capitol Heights, MD 20743",
Community Clinic Inc,Clinics,7620 Carroll Ave Ste 101,"Takoma Park, MD 20912",
Knee Pain,Clinics,301 Maple Ave W,"Vienna, VA 22180",
VA Clinic Andrews,Clinics,5801 Allentown Rd,"Suitland, MD 20746",
After 4 Medical Care,Clinics,1835 University Blvd E Ste 208,"Hyattsville, MD 20783",
Adelphl Family Clinic,Clinics,7411 Riggs Rd Ste 304,"Hyattsville, MD 20783",
Prince Georges Reproductive Health Services,Clinics,7411 Riggs Rd Ste 300,"Hyattsville, MD 20783",
Suburban Transplant Clinic,Clinics,5704 Grosvenor Ln,"Bethesda, MD 20814",
Saratoga Medical Clinic,Clinics,7839 Rolling Rd,"Springfield, VA 22153",
"Kumar, Natasha",Clinics,6401 America Blvd,"Hyattsville, MD 20782",
Maryland Healthcare Clinic,Clinics,5500 Baltimore Ave,"Hyattsville, MD 20781",
Total Health Family Clinic,Clinics,5730 Silver Hill Rd,"District Heights, MD 20747",
Dimensions Health Care Systems,Clinics,2900 Mercy Ln,"Hyattsville, MD 20785",
Dynamic Rehab Inc,Clinics,1121 Leigh Mill Rd,"Great Falls, VA 22066",
MinuteClinic,Clinics,5870 Silver Hill Rd,"District Heights, MD 20747",
Redi Clinic,Clinics,6130 Baltimore Ave,"Riverdale, MD 20737",
Fitness And Rehabilitation,Clinics,10400 Eaton Pl Ste 312,"Fairfax, VA 22030",
Slade Health Care Inc,Clinics,1017 University Blvd E,"Silver Spring, MD 20903",
FT Belvoir Family Health Center Fairfax,Clinics,10580 Arrowhead Dr,"Fairfax, VA 22030",
Passport Health Silver Spring,Clinics,1734 Elton Rd,"Silver Spring, MD 20903",
"Express Healthcare, LLC",Clinics,4701 Melbourne Pl,"College Park, MD 20740",
Bridges Therapy & Wellness,Clinics,11166 Fairfax Blvd Ste 207,"Fairfax, VA 22030",
University Health Center,Clinics,3983 Campus Dr,"College Park, MD 20740",
"Pregnancy Aid Centers, Inc.",Clinics,4809 Greenbelt Rd,"College Park, MD 20740",
Luv N Care Medical,Clinics,7030 Carroll Ave,"Takoma Park, MD 20912",
Unity Health Care,Clinics,123 45th St NE,"Washington, DC 20019",
La Clinic,Clinics,8720 Georgia Ave,"Silver Spring, MD 20910",
Veronica Noh Clinic,Clinics,3012 James St,"Fairfax, VA 22031",
Medical Center Lls,Clinics,1835 University Blvd E Ste 301,"Hyattsville, MD 20783",
Maryland Men's Medical Clinic,Clinics,8555 16th St Ste 750,"Silver Spring, MD 20910",
Teen Connection of Takoma Inc,Clinics,7005 Carroll Ave,"Takoma Park, MD 20912",
Sleep Med,Clinics,7525 Carroll Ave,"Takoma Park, MD 20912",
Saratoga Medical Center,Clinics,11094 Lee Hwy Ste D103,"Fairfax, VA 22030",
Schachter David S DO,Clinics,4701 Melbourne Pl,"College Park, MD 20740",
Cignet Health Center,Clinics,3710 Riviera St Ste 2a,"Temple Hills, MD 20748",
Gambro Healthcare Silver Spring,Clinics,8412 Georgia Ave,"Silver Spring, MD 20910",
"Dr. William A. Taylor, Jr.",Clinics,1311 E West Hwy Ste A,"Silver Spring, MD 20910",
Family Health Center,Clinics,3415 Hamilton St Ste 9,"Hyattsville, MD 20782",
Med-First Urgent Care,Clinics,9452 Main St,"Fairfax, VA 22031",
DaVita,Clinics,8350 Traford Ln Ste A,"Springfield, VA 22152",
Guide Program Inc,Clinics,5126 Baltimore Ave,"Hyattsville, MD 20781",
Walmart - Pharmacy,Clinics,1500b Cornerside Blvd,"Vienna, VA 22182",
DaVita,Clinics,5155 Lee St NE,"Washington, DC 20019",
Tepeyac Family Center,Clinics,11135 Lee Hwy,"Fairfax, VA 22030",
Patient First,Clinics,8601 16th St,"Silver Spring, MD 20910",
Walmart - Pharmacy,Clinics,7910 Richmond Hwy,"Alexandria, VA 22306",
Walmart - Pharmacy,Clinics,6210 Annapolis Rd,"Hyattsville, MD 20784",
Blairs Lab,Clinics,7835 Eastern Ave Ste 205,"Silver Spring, MD 20910",
Mobile Medical Care Inc,Clinics,9309 Old Georgetown Rd,"Bethesda, MD 20814",
Target - Pharmacy,Clinics,3500 E West Hwy Ste 1200,"Hyattsville, MD 20782",
Planned Parenthood - Prince George's County Health Center,Clinics,5001 Silver Hill Rd Ste 103,"Suitland, MD 20746",
"Dr. Emerson Lapuz Coronel, MD",Clinics,5801 Allentown Rd,"Suitland, MD 20746",
Family Foot and Ankle Center,Clinics,9918 Main St,"Fairfax, VA 22031",
Patient First - Fairfax,Clinics,10100 Fairfax Blvd,"Fairfax, VA 22030",
Patient First - Landover Hills,Clinics,6201 Annapolis Rd,"Hyattsville, MD 20784",
Oakton Foot and Ankle Center,Clinics,10721 Main St Ste 3500,"Fairfax, VA 22030",
Walmart - Pharmacy,Clinics,11181 Lee Hwy,"Fairfax, VA 22030",
Marlow Heights Pregnancy Center,Clinics,3611 Branch Ave,"Temple Hills, MD 20748",
Forestville Pregnancy At,Clinics,3611 Branch Ave,"Temple Hills, MD 20748",
DaVita,Clinics,2303 Varnum St,"Mount Rainier, MD 20712",
"Neurology Services, Incorporated",Clinics,2616 Sherwood Hall Ln Ste 201,"Alexandria, VA 22306",
DaVita,Clinics,8605 Westwood Center Dr,"Vienna, VA 22182",
Inova Medical Group Podiatric Surgery,Clinics,527 Maple Ave E Ste 204,"Vienna, VA 22180",
DaVita,Clinics,8040 Georgia Ave Ste 150,"Silver Spring, MD 20910",
Mbi Hs-Hha,Clinics,4130 Hunt Pl NE,"Washington, DC 20019",
DaVita,Clinics,8123 Richmond Hwy,"Alexandria, VA 22309",
Inova Hematology Oncology,Clinics,8101 Hinson Farm Rd,"Alexandria, VA 22306",
Chillum Center,Clinics,3104 Queens Chapel Rd,"Hyattsville, MD 20782",
"Uzel, Gulbu, MD",Clinics,8136 Old Keene Mill Rd,"Springfield, VA 22152",
DaVita,Clinics,8412 Georgia Ave,"Silver Spring, MD 20910",
Teen Connection Of Takoma,Clinics,1400 Spring St Ste 200,"Silver Spring, MD 20910",
Planned Parenthood,Clinics,1400 Spring St Ste 450,"Silver Spring, MD 20910",
"Dr. Josh J Oppenheim, MD",Clinics,8314 Traford Ln Ste C,"Springfield, VA 22152",
"Araya, Henok, MD",Clinics,908 New Hampshire Ave # 400,"Takoma Park, MD 20912",
DaVita,Clinics,4797 Marlboro Pike,"Capitol Heights, MD 20743",
Broadview Networks Inc,Clinics,4419 Arnold Rd,"Suitland, MD 20746",
Virgo-Center Pediatrics,Clinics,8630 Fenton St Ste 230,"Silver Spring, MD 20910",
Nova Headache & Chronic Pain,Clinics,8993 Cotswold Dr,"Burke, VA 22015",
Endocrinology Diabetes Center,Clinics,301 Maple Ave W,"Vienna, VA 22180",
Target - Pharmacy,Clinics,1500 E West Hwy,"Hyattsville, MD 20783",
Uplift Medicals,Clinics,4333 Old Branch Ave,"Temple Hills, MD 20748",
Jose Bonelli MD,Clinics,8807 Colesville Rd Ste 500,"Silver Spring, MD 20910",
DaVita,Clinics,5000 Nannie Helen Burroughs Ave NE,"Washington, DC 20019",
"Clark, Melissa A, MD",Clinics,7676 New Hampshire Ave Ste 411,"Takoma Park, MD 20912",
Camp Springs,Clinics,5801 Allentown Rd,"Suitland, MD 20746",
Synergy Family Services Inc,Clinics,1425 University Blvd E,"Hyattsville, MD 20783",
DaVita,Clinics,1502 University Blvd E,"Hyattsville, MD 20783",
DaVita,Clinics,10905 Fort Washington Rd,"Fort Washington, MD 20744",
Synergy Wellness Center,Clinics,7101 Democracy Blvd Spc 1118,"Bethesda, MD 20817",
DaVita,Clinics,5701 Silver Hill Rd,"District Heights, MD 20747",
DaVita,Clinics,8520 Cinder Bed Rd,"Lorton, VA 22079",
General Dynamics,Clinics,8535 Terminal Rd,"Lorton, VA 22079",
DaVita,Clinics,11700 Livingston Rd,"Fort Washington, MD 20744",
Clinic First,Clinics,9800 Falls Rd Ste 3,"Potomac, MD 20854",
Standard Dental LLC,Clinics,9800 Falls Rd Suite 104,"Potomac, MD 20854",
Comm Mgnt Corp of MD,Clinics,5999 Emerson St,"Bladensburg, MD 20710",
One Capital Partners,Clinics,10721 Main St,"Fairfax, VA 22030",
Washington Speech,Clinics,11150 Fairfax Blvd Ste 500,"Fairfax, VA 22030",
DaVita,Clinics,3955 Pender Dr Ste 210,"Fairfax, VA 22030",
Cardiology Center,Clinics,9051 Autoville Dr,"College Park, MD 20740",
Metropolitan Access Center,Clinics,4155 Bladensburg Rd,"Brentwood, MD 20722",
Yeheyis Negussie Clinic,Clinics,8604 2nd Ave,"Silver Spring, MD 20910",
Fairfax-Falls Church Community Service,Clinics,8348 Traford Lane Suite 400,"Springfield, VA 22152",
DSI Silver Hill,Clinics,5652 Silver Hill Rd,"District Heights, MD 20747",
Quality Care Dialysis Center,Clinics,6357 Old Branch Ave,"Temple Hills, MD 20748",
K Rao Anantha MD,Clinics,6495 New Hampshire Ave Ste 190,"Hyattsville, MD 20783",
Psi Arista,Clinics,10400 Eaton Pl,"Fairfax, VA 22030",
Ultimate Renal Care,Clinics,2426 Chillum Rd,"Hyattsville, MD 20782",
"Dr. Lawrence L Zumo, MD",Clinics,1111 Spring St Ste 216,"Silver Spring, MD 20910",
"Dr. Fariba F Baghai, MD",Clinics,1835 University Blvd E Ste 316,"Hyattsville, MD 20783",
Optimal Physical Therapy And Rehabilitation,Clinics,1738 Elton Rd Ste 230,"Silver Spring, MD 20903",
DaVita,Clinics,8630 Fenton St,"Silver Spring, MD 20910",
Millennium Medical Care,Clinics,11213 Lee Hwy Ste H,"Fairfax, VA 22030",
MinuteClinic,Clinics,11160 S Lakes Dr,"Reston, VA 20191",
Integrated Sports Medicine,Clinics,5618H Ox Rd,"Fairfax Station, VA 22039",
Maryland Institute For,Clinics,5111 Berwyn Rd,"College Park, MD 20740",
O & O Alpan,Clinics,11212 Waples Mill Rd Ste 100,"Fairfax, VA 22030",
Kellar Center-Behavioral Health,Clinics,11204 Waples Mill Rd,"Fairfax, VA 22030",
Burke Spine Center,Clinics,5631 Burke Centre Pkwy Ste J,"Burke, VA 22015",
A & T Family Medical,Clinics,6201 Greenbelt Rd Ste M10,"Berwyn Heights, MD 20740",
Venice Family Clinic,Clinics,1850 Samuel Morse Dr,"Reston, VA 20190",
Veteran Health Care,Clinics,1606 Washington Plz,"Reston, VA 20190",
"Med-ped Health Care, LLC",Clinics,6201 Greenbelt Rd Ste M-16,"Berwyn Heights, MD 20740",
Target - Pharmacy,Clinics,6100 Greenbelt Rd,"Greenbelt, MD 20770",
The Gastroenterology Center of Virginia,Clinics,11440 Commerce Park Dr Ste Ll1a,"Reston, VA 20191",
Virginia Advanc Medical Center,Clinics,3930 Pender Dr Ste 110,"Fairfax, VA 22030",
"Dr. Fady Ihsan Sharara, MD",Clinics,11150 Sunset Hills Rd Ste 100,"Reston, VA 20190",
Mega Lab Services,Clinics,1950 Opitz Blvd.,"Woodbridge, VA 22191",
Dr Forsythe Cancer Care Center,Clinics,,,Arlington Area
MinuteClinic,Clinics,1201 S Hayes St,"Arlington, VA 22202",
MinuteClinic,Clinics,415 E Monroe Ave,"Alexandria, VA 22301",
Heart-Based Healing,Clinics,,,
Beauregard Medical Center,Clinics,3450 N Beauregard St Ste 1,"Alexandria, VA 22302",
DaVita,Clinics,1785 S Hayes St,"Arlington, VA 22202",
MinuteClinic,Clinics,2240 M St NW,"Washington, DC 20037",
MinuteClinic,Clinics,6100 Arlington Blvd,"Falls Church, VA 22044",
MinuteClinic,Clinics,6 Dupont Cir NW,"Washington, DC 20036",
MinuteClinic,Clinics,2226 Wisconsin Ave NW,"Washington, DC 20007",
MinuteClinic,Clinics,4859 Macarthur Blvd NW,"Washington, DC 20007",
Reach Out Clinic,Clinics,9135 Piscataway Rd,"Clinton, MD 20735",
Jackson Clinics,Clinics,5115 Leesburg Pike,"Falls Church, VA 22041",
Metropolitan Family Planning Clinic,Clinics,5625 Allentown Road Suite #203,"Suitland, MD 20746",
"Stan, Nshombia",Clinics,1050 W Perimeter Rd,"Jb Andrews, MD 20762",
N P Hagans Walk-In Clinic,Clinics,9135 Piscataway Rd,"Clinton, MD 20735",
Unity Health Care,Clinics,3240 Stanton Rd SE,"Washington, DC 20020",
Major Medical,Clinics,7801 Old Branch Ave,"Clinton, MD 20735",
Capitol Hill Crisis Pregnancy,Clinics,713 Maryland Ave NE,"Washington, DC 20002",
Walmart - Pharmacy,Clinics,99 H St NW,"Washington, DC 20001",
Greater Maryland Eye Physicians And Surgeons,Clinics,9131 Piscataway Rd,"Clinton, MD 20735",
Free Abortion Alternatives,Clinics,1425 K St NW Ste 350,"Washington, DC 20005",
Active Physical Therapy,Clinics,9135 Piscataway Rd Ste 305,"Clinton, MD 20735",
Kolia,Clinics,9135 Piscataway Rd Ste 310,"Clinton, MD 20735",
Clinton Family Dental,Clinics,9015 Woodyard Rd Ste 104,"Clinton, MD 20735",
MinuteClinic,Clinics,134 W Broad St,"Falls Church, VA 22046",
